,Month_Day,Year_Occured,Event
0,01 January,45BC,BC The Julian calendar takes effect for the first time
1,01 January,630BC,"Prophet Muhammad sets out with an army 10,000 strong to conquer Mecca"
2,01 January,1758,"The International Commission on Zoological Nomenclature establish the ""starting point"" for standardized species names across the animal kingdom, based on the binomial nomenclature by Carolus Linnaeus 10th edition of Systema Naturae"
3,01 January,1863,Emancipation Proclamation issued by Abraham Lincoln to free slaves in US confederate states
4,01 January,1892,Ellis Island opens as a US immigration inspection station - it would go on to be the gateway to the US for more than 12 million people
5,01 January,1896,German physicist Wilhelm Röntgen announces his discovery of x-rays
6,01 January,1958,"European Economic Community, better known as the European Common Market starts operation"
7,01 January,1953,"The first TV detector van, used to track down users of unlicensed television sets, begins operation in the UK"
8,01 January,1960,Johnny Cash plays first of many free concerts behind bars
9,01 January,1902,"1st Rose Bowl, Tournament Park, Pasadena, California: Michigan beats Stanford, 49-0; MVP: Neil Snow, Michigan, FB"
10,01 January,49BC,Roman Emperor Claudius marries his fourth wife and niece Agrippina the Younger
11,01 January,414BC,King Ataulf of Narbonne marries emperor Honorius sister Galle Placidia
12,01 January,1772,US founding father Thomas Jefferson (30) marries Martha Wayles Skelton (23)
13,02 January,366BC,"The Alamanni cross the frozen Rhine River in large numbers, invading the Roman Empire"
14,02 January,1492,"Muhammad XII, the last Emir of Granada, surrenders his city to Ferdinand II of Aragon and Isabel I of Castile, ending both the Reconquista and centuries of Muslim rule in the Iberian peninsula"
15,02 January,1570,Tsar Ivan the Terrible's march to Novgorod begins
16,02 January,1905,American anarcho-syndicalist union known as the Industrial Workers of the World forms
17,02 January,1942,World War II: the 28 nations at war with Axis powers pledge to make no separate peace deals
18,02 January,1947,Mahatma Gandhi begins march for peace in East Bengal
19,02 January,1955,"1st ""Bob Cummings Show"" premieres on NBC (later on CBS)"
20,02 January,1843,"Richard Wagner's opera ""The Flying Dutchman"" premieres in Dresden"
21,02 January,1982,"""The Epic in Miami"", in 85 degree heat (Fahrenheit), the San Diego Chargers defeat the Miami Dolphins 41-38 in overtime in the AFC Divisional Playoff Game, a game that set numerous playoff scoring records"
22,02 January,1815,"Leading Romantic poet Lord Byron (27) marries Anne Isabella Milbanke (22) by special licence, at Seaham Hall in County Durham"
23,02 January,1845,Explorer and medical missionary David Livingstone (31) weds Mary Moffat
